reclaim	vt.要求归还,收回,开垦
participant	n.参与者,共享者;adj.参与的
classical	adj.古典的,正统派的,古典文学的
verse	n.韵文,诗,诗节,诗句,诗篇
depress	vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条;v.压下
exhaust	vt.用尽,耗尽,抽完,使筋疲力尽;vi.排气;n.排气,排气装置;adj.用不完的,不会枯竭的
forum	n.古罗马城镇的广场(或市场),论坛,法庭,讨论会
cellar	n.地窖,地下室,酒窖,藏酒量
retrospect	n.回顾
sneak	vi.鬼鬼祟祟做事;vt.偷偷摸摸做,<口>偷窃;n.鬼鬼祟祟人,偷偷摸摸行为,<美口>帆布胶底运动鞋;adj.暗中进行的
assistance	n.协助,援助,补助,<英>国家补助
insane	adj.患精神病的,精神病患者的,极愚蠢的
aisle	n.走廊,过道
constrain	vt.强迫,抑制,拘束
glance	vi.扫视,匆匆一看;n.一瞥,眼光,匆匆一看
crowd	n.人群,群众,一堆(东西),一伙;v.群集,拥挤,挤满
compact	adj.紧凑的,紧密的,简洁的;n.契约,合同,小粉盒
murmur	n.低沉连续的声音,咕哝,怨言,低语;v.发低沉连续的声音,发怨言,低声说,低语
brood	n.(动物中鸟或家禽的)一窝,(同种或同类的)一伙;vt.孵,沉思
specific	n.特效药,细节;adj.详细而精确的,明确的,特殊的,特效的,[生物]种的
obstacle	n.障碍,妨害物
drainage	n.排水,排泄,排水装置,排水区域,排出物,消耗
corrupt	adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的;vt.使腐烂,腐蚀,使恶化;vi.腐烂,堕落
performance	n.履行,执行,成绩,性能,表演,演奏
sensitive	adj.敏感的,灵敏的,感光的
triumph	n.胜利,成功;v.获得胜利
imaginary	adj.假想的,想象的,虚构的
routine	n.例行公事,常规,日常事务,程序
debate	v.争论,辩论;n.争论,辩论
bounce	v.(使)反跳,弹起,(指支票)被银行退票,弹跳;n.(球)跳起,弹回
lunar	adj.月的,月亮的
continual	adj.连续的,频繁的,持续不断的
temperament	n.气质,性情,易激动,急躁
calorie	n.卡路里
monetary	adj.货币的,金钱的
enrich	vt.使富足,使肥沃,装饰,加料于,浓缩
urge	vt.催促,力劝;n.强烈欲望,迫切要求;v.促进
peel	v.剥,削,剥落
fantastic	adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的
massacre	n.残杀,大屠杀;v.残杀,集体屠杀
comet	n.彗星
preside	v.主持
visualize	vt.形象,形象化,想象;vi.显现
sentiment	n.情操,情感,情绪,观点,多愁善感,感情
